CityID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
227,Mar Del Plata,AR,-38.0023,-57.5575,18.01,67,40,8.23,scattered clouds
228,Wanxian,CN,30.8039,108.3897,7.64,88,100,1.03,overcast clouds
229,Lattes,FR,43.5675,3.9046,11.98,83,100,2.06,overcast clouds
230,Bontang,ID,0.1333,117.5,25.52,83,100,2.49,overcast clouds
231,Gua Musang,MY,4.8823,101.9644,20.88,97,92,0.2,overcast clouds
232,Shunyi,CN,40.125,116.6453,-4.03,80,0,2.0,clear sky
233,Diebougou,BF,10.9667,-3.25,28.87,10,31,1.52,scattered clouds
234,Geraldton,AU,-28.7667,114.6,20.23,77,2,4.63,clear sky
235,Seoul,KR,37.5683,126.9778,-1.22,62,75,1.03,broken clouds
236,Port Hardy,CA,50.6996,-127.4199,3.1,100,75,1.54,broken clouds
237,Pine Bluff,US,34.2284,-92.0032,4.07,57,100,6.71,overcast clouds
238,Rundu,NA,-17.9333,19.7667,19.13,90,98,1.81,light rain
239,Samana,DO,19.2056,-69.3369,26.12,89,75,3.09,broken clouds
240,Boa Vista,BR,2.8197,-60.6733,33.99,38,75,6.69,broken clouds
241,Abha,SA,18.2164,42.5053,14.14,82,3,0.0,clear sky
242,Onda,ES,39.9667,-0.25,12.38,93,96,1.05,overcast clouds
243,Xining,CN,36.6167,101.7667,-11.04,68,100,1.09,overcast clouds
244,Manadhoo,MV,5.7667,73.3833,26.99,76,100,2.7,overcast clouds
245,Mount Gambier,AU,-37.8333,140.7667,16.95,67,66,4.12,broken clouds
246,Takestan,IR,36.0696,49.6959,-0.93,65,1,2.7,clear sky
247,Gorom-Gorom,BF,14.4439,-0.2361,25.5,10,0,2.25,clear sky
248,Matadi,CD,-5.8167,13.45,27.27,67,67,2.86,broken clouds
249,Powell River,CA,49.8496,-124.5361,6.0,93,20,1.54,fog
250,Marystown,CA,47.1666,-55.1483,7.14,100,68,4.02,broken clouds
251,Borovskoy,KZ,53.8,64.15,-11.4,92,100,1.45,overcast clouds
252,Camana,PE,-16.6228,-72.7111,23.62,70,81,3.63,broken clouds
253,Bambous Virieux,MU,-20.3428,57.7575,27.14,83,40,3.09,moderate rain
254,Aksarka,RU,66.5606,67.7975,-24.54,94,100,3.46,overcast clouds
255,Muisne,EC,0.6,-80.0333,29.06,87,97,3.0,light rain
256,Brawley,US,32.9787,-115.5303,29.16,11,0,0.0,clear sky
257,Praia Da Vitoria,PT,38.7333,-27.0667,18.14,77,20,4.98,few clouds
