CityID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
433,Camacha,PT,15.68,broken clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
434,Eshowe,ZA,19.0,clear sky,-28.8865,31.4699,Sugar Hill Manor
437,Antofagasta,CL,23.45,clear sky,-23.65,-70.4,"Holiday Inn Express Antofagasta, an IHG Hotel"
442,Gohpur,IN,13.22,clear sky,26.8833,93.6333,Murchana Music
451,Villa San Giovanni,IT,14.37,few clouds,38.2276,15.6386,Capo Peloro Resort
455,Espanola,US,7.53,scattered clouds,35.9911,-106.0806,Santa Claran Hotel Casino
460,Batemans Bay,AU,18.39,broken clouds,-35.7167,150.1833,Batemans Bay Marina Resort
461,Viransehir,TR,7.08,clear sky,37.2353,39.7631,Viranşehir Öğretmenevi
462,Vila Velha,BR,24.97,scattered clouds,-20.3297,-40.2925,Quality Suites Vila Velha
464,Galle,LK,24.01,overcast clouds,6.0367,80.217,Amangalla
466,Vaiano,IT,7.8,clear sky,43.949,11.1232,B&B Il nido della rondine
470,Vasto,IT,6.93,overcast clouds,42.1243,14.7059,Hotel President
471,Nishihara,JP,20.6,overcast clouds,26.1842,127.7558,Minshuku Agaihama
473,Esmeraldas,BR,24.58,broken clouds,-19.7625,-44.3139,Bom Será - Marcinho e Fernanda
474,Saltillo,MX,19.99,clear sky,25.4167,-101.0,Hotel Urdinola
478,Aljezur,PT,12.22,overcast clouds,37.3191,-8.8033,Amazigh Hostel
480,Elat,IL,15.91,clear sky,29.5581,34.9482,Club Hotel Eilat
485,Kiunga,PG,22.26,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
486,Killybegs,IE,8.03,overcast clouds,54.6333,-8.45,Tara Hotel
487,Kafanchan,NG,23.6,few clouds,9.5833,8.3,Sir Joe guest Inn
488,Bhatkal,IN,24.0,clear sky,13.9667,74.5667,Nilawar Palace
492,Sandpoint,US,6.45,clear sky,48.2766,-116.5533,Hotel Ruby Sandpoint/Ponderay
497,Broken Hill,AU,21.84,clear sky,-31.95,141.4333,Royal Exchange Hotel
498,Gweru,ZW,17.94,clear sky,-19.45,29.8167,Suskwe Lodges
499,Bilara,IN,15.58,clear sky,26.1792,73.7056,SAILANI E-MITRA
501,Tshikapa,CD,21.6,moderate rain,-6.4167,20.8,Hôtel Tshia-Muntu de Tshikapa
513,Saint Stephen,GB,10.15,broken clouds,50.3333,-4.9,4 stepaside corner
516,Sandeid,NO,6.17,light rain,59.5449,5.8636,Haus Centrum Sandeid Fishing Lodge
518,Constitucion,CL,21.88,clear sky,-35.3333,-72.4167,Hotel Boutique Las Azucenas
521,Ambilobe,MG,22.55,light rain,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
533,Erzin,TR,5.29,few clouds,36.9559,36.2,Artemis Otel
534,Kerrville,US,12.01,clear sky,30.0474,-99.1403,Inn Of The Hills Hotel & Conference Center
537,Honiara,SB,24.99,overcast clouds,-9.4333,159.95,Heritage Park Hotel
539,Bilma,NE,18.94,clear sky,18.6853,12.9164,Expeditions Ténére voyages
541,Ambo,PE,20.71,overcast clouds,-10.1308,-76.2047,La Loma Resort
543,Dolores,AR,21.16,clear sky,-36.3132,-57.6792,Apart Hotel - Arianos
544,Lixourion,GR,11.89,overcast clouds,38.2019,20.4314,Hotel Summery
546,Qingquan,CN,5.59,overcast clouds,30.4511,115.2559,Caiyuan Hotel
551,Katghora,IN,12.24,clear sky,22.5,82.55,Deppak bhojanalay new bus stand
555,Palmer,US,13.67,broken clouds,42.1584,-72.3287,Wedgewood Motel
556,Ambikapur,IN,9.61,clear sky,23.1167,83.2,Hotel Birendra Prabha
557,Minab,IR,20.18,broken clouds,27.1467,57.0801,Bam campground
560,Takaka,NZ,15.31,light rain,-40.85,172.8,Golden Bay Motels
562,Marrakesh,MA,18.04,clear sky,31.6315,-8.0083,Novotel Marrakech Hivernage
563,Hyeres,FR,11.86,clear sky,43.1167,6.1167,Hôtel des Palmiers
564,Kokstad,ZA,18.68,broken clouds,-30.5472,29.4241,Majestic Bed and Breakfast
566,Olbia,IT,6.03,clear sky,40.9214,9.4856,Hotel Centrale
568,Catuday,PH,24.65,overcast clouds,16.2923,119.8062,Benjie's Kubo & Cottages
572,Bonavista,CA,5.06,overcast clouds,48.6499,-53.1147,Abbott's Bed & Breakfast
573,Brooks,CA,6.35,overcast clouds,50.5834,-111.8851,Heritage Inn Hotel & Convention Centre
576,Wichita Falls,US,7.92,clear sky,33.9137,-98.4934,Quality Inn & Suites Wichita Falls I-44
577,Hualmay,PE,24.09,scattered clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
581,Mweka,CD,21.15,light rain,-4.85,21.5667,Guest House Boshab
585,Chimoio,MZ,21.92,few clouds,-19.1164,33.4833,Predio Livraria Ahmed
590,Bambanglipuro,ID,17.0,light rain,-7.95,110.2833,Puri Brata
591,Henderson,US,21.75,clear sky,36.0397,-114.9819,Hawthorn Suites By Wyndham Las Vegas/Henderson
593,Summerville,US,21.1,clear sky,33.0185,-80.1757,Sleep Inn Summerville-Charleston
594,Ahtopol,BG,5.68,overcast clouds,42.1,27.95,Agata Beach Hotel
599,Goma,CD,17.09,overcast clouds,-1.6792,29.2228,Hotel la Versailles Goma
602,Hokitika,NZ,10.37,overcast clouds,-42.7167,170.9667,Beachfront Hotel Hokitika
604,Da Nang,VN,23.99,broken clouds,16.0678,108.2208,Sun River Hotel
605,Paracatu,BR,22.87,broken clouds,-17.2222,-46.8747,Hotel Paracatu Plaza
608,Binga,ZW,22.44,overcast clouds,-17.6203,27.3414,Lakeview Inn Binga
609,Mpanda,TZ,18.86,overcast clouds,-6.3655,31.0409,CH Hotel - Mpanda
616,Houston,US,15.01,overcast clouds,29.7633,-95.3633,"Hotel ICON, Autograph Collection"
617,Bereda,ES,7.15,broken clouds,43.2686,-7.5406,Pazo de Verdes
623,Srandakan,ID,17.07,light rain,-7.9386,110.2506,Puri Brata
626,Lata,PT,12.67,broken clouds,40.1629,-8.3327,Casa Maquia
629,Nhulunbuy,AU,24.34,clear sky,-12.2333,136.7667,East Arnhem Real Estate
634,Gazanjyk,TM,7.09,clear sky,39.2446,55.5154,Railway motel
635,Atherton,GB,8.66,light rain,53.5237,-2.4935,The Lion Inn
643,Joao Pinheiro,BR,20.73,overcast clouds,-17.7425,-46.1725,Hotel Santos
649,Ushirombo,TZ,18.43,overcast clouds,-3.4919,31.9639,Kigali Hotel
651,Taitung,TW,20.23,broken clouds,22.7583,121.1444,Taitung Bali Suites Hotel
652,Freeport,US,15.32,clear sky,40.6576,-73.5832,The Freeport Inn and Marina
655,Harer,ET,14.87,broken clouds,9.3094,42.1258,Amir Cultural Harari Guesthouse
656,Faya,SA,14.29,clear sky,18.3851,42.4509,املاك خالد الشعشوع
657,Bafia,CM,24.98,scattered clouds,4.75,11.2333,Rim touristique hôtel
659,Akyab,MM,16.77,overcast clouds,20.15,92.9,Hotel Memory
661,Pemangkat,ID,24.54,overcast clouds,1.1667,108.9667,Ramah Kost KITA
662,Kaseda,JP,12.42,overcast clouds,31.4167,130.3167,Sun Stay Kaseda
666,Prabumulih,ID,22.89,moderate rain,-3.45,104.25,Central City Hotel
669,Port Shepstone,ZA,24.6,overcast clouds,-30.7414,30.455,My Den Beachfront Bed and Breakfast | Self-Catering
670,Jodar,ES,10.77,overcast clouds,37.8406,-3.3526,Hotel Ciudad de Jódar
671,Rantepao,ID,19.39,overcast clouds,-2.9701,119.8978,Hotel Luta Resort
673,West Wendover,US,7.22,clear sky,40.7391,-114.0733,"Motel 6 Wendover, UT"
674,Newnan,US,21.75,clear sky,33.3807,-84.7997,La Quinta Inn & Suites by Wyndham Atlanta South - Newnan
677,Hue,VN,22.06,few clouds,16.4667,107.6,Saigon Morin Hotel
679,Dakoro,NE,20.84,clear sky,14.5106,6.765,Shagon mai liverpool
686,Maldonado,UY,17.66,overcast clouds,-34.6667,-54.9167,La Cimarrona
